     1→{
     2→  "code": 200,
     3→  "data": {
     4→    "description": "Design the smallest neural networks to solve ARC-AGI image transformations",
     5→    "external": {
     6→      "icon": {
     7→        "https://www.kaggle.com/static/images/favicon.ico": {
     8→          "id": "dynamic-favicon",
     9→          "type": "image/x-icon"
    10→        }
    11→      },
    12→      "manifest": {
    13→        "https://www.kaggle.com/static/json/manifest.json": {
    14→          "crossorigin": "use-credentials"
    15→        }
    16→      },
    17→      "preconnect": {
    18→        "https://apis.google.com/": {},
    19→        "https://fonts.gstatic.com/": {
    20→          "crossorigin": ""
    21→        },
    22→        "https://stats.g.doubleclick.net/": {},
    23→        "https://storage.googleapis.com/": {},
    24→        "https://www.google-analytics.com/": {
    25→          "crossorigin": "anonymous"
    26→        }
    27→      },
    28→      "preload": {
    29→        "https://fonts.googleapis.com/css2?family=Google+Symbols:FILL@0..1&display=block": {
    30→          "as": "style"
    31→        },
    32→        "https://fonts.googleapis.com/css?family=Inter:400,400i,500,500i,600,600i,700,700i&display=swap": {
    33→          "as": "style"
    34→        }
    35→      }
    36→    },
